,"Manufacturer","Model","Weight.oz","Dim.1.in","Dim.2.in","Dim.3.in","Talk.hr","Standby.hr","Volume.in3","Composite","Years"
"733","UTStarcom","CDM-7075 / CDM-220",3.5,3.5,1.9,0.9,3.5,162,5.985,18.9246178176,2006.1452054795
"678","Nokia","E62 / E61",5.08,4.61,2.74,0.55,7,264,6.94727,24.860171926,2006.1643835616
"715","Nokia","6125",3.46,3.54,1.81,0.93,5,280,5.958882,32.3817625064,2006.1671232877
"716","Nokia","6215i",3,3.35,1.81,0.75,3.9,240,4.547625,34.3816763551,2006.1698630137
"736","LG","VX-8300",3.88,3.58,1.93,0.92,3.8,384,6.356648,39.3683557352,2006.1698630137
"738","Samsung","SGH-T509",2.7,4.6,1.83,0.39,3.5,172,3.28302,31.6729678323,2006.1780821918
"709","Motorola","i580",4.9,3.68,2.2,1.2,2.8,70,9.7152,5.7474410203,2006.1835616438
"724","Sony","Ericsson W810",3.49,3.94,1.81,0.77,8,350,5.491178,43.4241477009,2006.1835616438
"741","Sony","Ericsson J220",2.91,4.02,1.73,0.71,6,300,4.937766,42.0501834535,2006.1835616438
"742","Casio","G'zOne Type-V",5.3,4.08,2.04,1.17,3.4,170,9.738144,12.4350451758,2006.1835616438
"737","Motorola","V195 / V197",3.55,3.58,1.85,0.94,10.4,525,6.22562,59.0243892459,2006.1890410959
"680","Nokia","E70",4.48,4.61,2.09,0.87,7.3,223,8.382363,20.1751420015,2006.197260274
"790","Samsung","SGH-D840",3.53,3.9,2.01,0.47,2.5,250,3.68433,36.3859152548,2006.197260274
"744","Sanyo","SCP-3100",3.5,3.31,1.83,1.01,3.6,1000,6.117873,105.8446082621,2006.2054794521
"745","Samsung","SCH-A870 / Siren",3.4,3.6,1.8,0.85,3.3,170,5.508,20.9362370903,2006.2164383562
"788","Samsung","SCH-A645",3.2,3.54,1.79,0.94,3.7,306,5.956404,35.4396769736,2006.2164383562
"728","Nokia","6126 / 6131 / 6133",3.95,3.62,1.89,0.79,3.4,240,5.405022,27.4718755338,2006.2191780822
"759","Motorola","W315",3.53,3.48,1.97,0.89,3,217,6.101484,24.0876691484,2006.2438356164
"752","LG","VX-5300 / UX-245 / AX-245",3.28,3.51,1.87,0.94,3,190,6.169878,21.6934017561,2006.2547945206
"753","Samsung","SPH-A640",3.2,3.6,1.8,0.9,3.8,800,5.832,90.6775907883,2006.2630136986
"754","LG","AX-490",3.79,3.74,1.92,1,3,140,7.1808,14.128413607,2006.2657534247
"708","Motorola","ROKR E2",3.77,4.17,1.95,0.71,9,196,5.773365,25.2531470818,2006.2794520548
"739","Samsung","SGH-T719",3.5,3.7,2,0.72,3,120,5.328,15.2922519257,2006.2794520548
"756","Samsung","SGH-ZX20",3.95,3.46,1.89,1.02,4,250,6.670188,25.4232787593,2006.2794520548
"757","Samsung","SCH-A990",4.4,3.8,1.88,0.82,4.1,315,5.85808,32.7059254753,2006.2849315069
"758","LG","CU500",3.7,3.8,1.95,0.76,3.5,240,5.6316,27.5944103905,2006.2849315069
"727","Samsung","SGH-i320",3.35,4.37,2.32,0.45,3.3,140,4.56228,19.7793809117,2006.304109589
"767","Sharp","Hiptop 3 / Sidekick 3",6.49,5.12,2.32,0.87,4.5,72,10.334208,5.6169063055,2006.3068493151
"763","Pantech","PN-3200 / PN-320 / CDM-8932",3.56,3.6,1.93,0.66,3.3,228,4.58568,30.0159102739,2006.3178082192
"765","Pantech","PN-820",3.92,3.84,2.03,0.78,3.3,145,6.080256,16.1495865706,2006.3315068493
"766","BlackBerry","7130c / 7130g",4.23,4.52,2.17,0.75,3,192,7.3563,17.8659278631,2006.3342465753
"794","Kyocera","Oystr KX9d / KX9e",3.5,3.46,1.88,0.98,3.5,175,6.374704,19.4942552202,2006.3424657534
"771","Kyocera","K322 / K323",3.4,3.54,1.81,0.92,3.5,165,5.894808,19.6346175198,2006.3506849315
"784","Motorola","KRZR K1m",3.63,4.06,1.73,0.67,4.2,440,4.705946,55.3026615096,2006.3506849315
"768","Samsung","SGH-E900 / E906",3.28,3.66,1.77,0.65,3.5,220,4.21083,31.7054318413,2006.3589041096
"774","LG","VX-8500 Chocolate",3.53,3.8,1.88,0.69,3.5,384,4.92936,47.4622193641,2006.3616438356
"773","Palm","Treo 700p",6.4,4.4,2.3,0.9,4.5,300,9.108,20.7957183389,2006.3753424658
"778","Nokia","6315i",3.34,3.52,1.87,0.72,4.2,235,4.739328,31.6858035718,2006.3753424658
"770","Samsung","SGH-X820",2.33,4.45,1.97,0.27,2.5,210,2.366955,47.3711159677,2006.3780821918
"772","Kyocera","K342",3.4,3.54,1.81,0.92,3.5,165,5.894808,19.6346175198,2006.3780821918
"735","Sony","Ericsson W300 / Z530",3.32,3.54,1.85,0.96,9,400,6.28704,46.3201985211,2006.3863013699
"779","LG","enV VX-9900",4.6,4.64,2.08,0.78,4.5,460,7.527936,39.7841809192,2006.394520548
"782","Samsung","SGH-D900 / Black Carbon",3.28,4.07,2.01,0.51,6.5,260,4.172157,39.2503807958,2006.4301369863
"783","LG","VX-8600 / AX-8600",3.26,3.89,1.93,0.58,3.7,398,4.354466,54.6985172696,2006.4328767123
"777","Sanyo","Katana / SCP-6600",3.4,3.88,2.02,0.58,3,168,4.545808,23.0310120758,2006.4356164384
"748","Nokia","2865i",3.32,4.15,1.67,0.71,4,336,4.920655,43.2004494788,2006.4520547945
"769","Motorola","V365",4.2,3.58,1.81,1.14,9.2,300,7.386972,29.8611233375,2006.4520547945
"729","Nokia","6136",3.46,3.54,1.81,0.93,5,280,5.958882,32.3817625064,2006.4547945206
"804","Samsung","SPH-M500",2.79,3.65,1.83,0.68,3.5,800,4.54206,111.4966325971,2006.4849315069
"811","Samsung","SCH-U420 Nimbus",3.2,3.67,1.8,0.63,4,216,4.16178,32.0574643632,2006.4849315069
"761","HTC","TyTN / 8525 / JasJam (Hermes)",6.21,4.43,2.28,0.86,4,200,8.686344,14.7687244602,2006.495890411
"797","Nokia","6275i",3.7,4.29,1.69,0.67,3.5,240,4.857567,30.090328244,2006.5123287671
"747","Nokia","2610",3.21,4.09,1.69,0.71,3,288,4.907591,37.3263447247,2006.5178082192
"749","Nokia","2365i / 2366i",3.7,3.2,1.69,0.94,3.9,312,5.08352,37.7411333953,2006.5232876712
"764","Nokia","N73",4.09,4.33,1.93,0.75,4.1,350,6.267675,35.7705759256,2006.5260273973
"789","Nokia","E50",3.67,4.45,1.71,0.61,6.8,216,4.641795,30.077738924,2006.5315068493
"785","Motorola","KRZR K1",3.6,4.05,1.65,0.63,5.8,300,4.209975,42.1256149988,2006.5342465753
"791","Samsung","SCH-U520",2.96,3.71,1.92,0.66,3.5,200,4.701312,28.3893933572,2006.5479452055
"808","Samsung","SGH-T629",3.2,3.9,2.01,0.55,5,200,4.31145,29.9542698147,2006.5479452055
"730","HTC","3125 / Smartflip / 8500 (Star Trek)",3.49,3.88,2.02,0.62,5,150,4.859312,20.9598108203,2006.5506849315
"792","Samsung","SGH-T519 Trace",2.5,4.45,1.97,0.3,6,192,2.62995,43.2752755875,2006.5534246575
"793","Samsung","SGH-T619",2.8,3.7,1.8,0.66,4,192,4.3956,29.4624492746,2006.5534246575
"676","Motorola","RAZR V3i / V3t / V3e / V3r",3.53,3.86,2.09,0.55,6.7,310,4.43707,43.1149720035,2006.5698630137
"795","Motorola","SLVR L7c",3.7,4.48,1.96,0.51,4,410,4.478208,52.5787556394,2006.5698630137
"810","Nokia","5300",3.76,3.64,1.9,0.81,3.2,223,5.60196,25.528842251,2006.5753424658
"798","Samsung","SGH-C417 / C416",2.86,3.66,1.89,0.65,5,240,4.49631,36.0234954753,2006.5835616438
"799","UTStarcom","Slice PCS-1400",2.3,4.3,1.8,0.4,3.8,270,3.096,53.5581912528,2006.5835616438
"734","Sony","Ericsson K790 / K800",4.1,4.1,1.8,0.9,7,350,6.642,35.8406255818,2006.5890410959
"801","LG","CU400 / CU405",3.27,3.36,1.89,0.9,5,300,5.71536,36.1699475591,2006.6082191781
"812","BlackBerry","Pearl 8100",3.16,4.2,2,0.57,3.5,360,4.788,47.4962254655,2006.6246575343
"826","Kyocera","Cyclops K325 / K312",3.4,3.54,1.81,0.92,3.5,165,5.894808,19.6346175198,2006.6273972603
"803","HTC","Dash / S620 / S621 (Excalibur)",4.23,4.39,2.46,0.51,5,216,5.507694,24.7491859982,2006.6383561644
